budget,imdb_id,original_language,popularity,revenue,runtime,release_year,orig_lang_cd,collection,website,genre_name,g_Animation,g_Comedy,g_Family,g_Adventure,g_Fantasy,g_Romance,g_Drama,g_Action,g_Crime,g_Thriller,g_Horror,g_History,g_Mystery,g_War,g_Foreign,g_Music,g_Documentary,g_Western
30000000,tt0114709,en,21.946943,373554033.0,81.0,1995.0,en,yes,yes,"['Animation', 'Comedy', 'Family']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65000000,tt0113497,en,17.015539,262797249.0,104.0,1995.0,en,no,no,"['Adventure', 'Fantasy', 'Family']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0113228,en,11.7129,0.0,101.0,1995.0,en,yes,no,"['Romance', 'Comedy']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16000000,tt0114885,en,3.859495,81452156.0,127.0,1995.0,en,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0113041,en,8.387519,76578911.0,106.0,1995.0,en,yes,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000000,tt0113277,en,17.924927,187436818.0,170.0,1995.0,en,no,no,"['Action', 'Crime', 'Drama', 'Thriller']",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
58000000,tt0114319,en,6.677277,0.0,127.0,1995.0,en,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0112302,en,2.561161,0.0,97.0,1995.0,en,no,no,"['Action', 'Adventure', 'Drama', 'Family']",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35000000,tt0114576,en,5.23158,64350171.0,106.0,1995.0,en,no,no,"['Action', 'Adventure', 'Thriller']",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
58000000,tt0113189,en,14.686036,352194034.0,130.0,1995.0,en,yes,yes,"['Adventure', 'Action', 'Thriller']",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
62000000,tt0112346,en,6.318445,107879496.0,106.0,1995.0,en,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0112896,en,5.430331,0.0,88.0,1995.0,en,no,no,"['Comedy', 'Horror']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,tt0112453,en,12.140733,11348324.0,78.0,1995.0,en,yes,no,"['Family', 'Animation', 'Adventure']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44000000,tt0113987,en,5.092,13681765.0,192.0,1995.0,en,no,no,"['History', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
98000000,tt0112760,en,7.284477,10017322.0,119.0,1995.0,en,no,no,"['Action', 'Adventure']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52000000,tt0112641,en,10.137389,116112375.0,178.0,1995.0,en,no,no,"['Drama', 'Crime']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
16500000,tt0114388,en,10.673167,135000000.0,136.0,1995.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4000000,tt0113101,en,9.026586,4300000.0,98.0,1995.0,en,no,no,"['Crime', 'Comedy']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30000000,tt0112281,en,8.205448,212385533.0,90.0,1995.0,en,yes,no,"['Crime', 'Comedy', 'Adventure']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60000000,tt0113845,en,7.337906,35431113.0,103.0,1995.0,en,no,no,"['Action', 'Comedy', 'Crime']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
30250000,tt0113161,en,12.669608,115101622.0,105.0,1995.0,en,yes,no,"['Comedy', 'Thriller', 'Crime']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,tt0112722,en,10.701801,0.0,124.0,1995.0,en,no,no,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
50000000,tt0112401,en,11.065939,30303072.0,132.0,1995.0,en,no,no,"['Action', 'Adventure', 'Crime', 'Thriller']",0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,tt0114168,en,12.133094,0.0,111.0,1995.0,en,no,no,"['Drama', 'Fantasy', 'Thriller']",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
3600000,tt0113627,en,10.332025,49800000.0,112.0,1995.0,en,no,yes,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0114057,en,1.845899,0.0,123.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
